B,R,c,method,risk
10,2,1,ACW,0.958571357
10,2,1,COKE,0.154751071
10,2,1,SR,0.405400351
10,2,1,DR,0.234284143
10,2,1,ACW,0.214710102
10,2,1,COKE,0.177406393
10,2,1,SR,0.427059492
10,2,1,DR,0.194395621
10,2,1,ACW,7.680807224
10,2,1,COKE,0.191684938
10,2,1,SR,0.467337244
10,2,1,DR,0.228937602
10,2,1,ACW,0.681445041
10,2,1,COKE,0.204028047
10,2,1,SR,0.385156016
10,2,1,DR,0.216498801
10,2,1,ACW,1.241941055
10,2,1,COKE,0.161528698
10,2,1,SR,0.378976022
10,2,1,DR,0.403276668
10,2,1,ACW,7.342787441
10,2,1,COKE,0.129240561
10,2,1,SR,0.337703112
10,2,1,DR,0.218206038
10,2,1,ACW,0.458232823
10,2,1,COKE,0.18520411
10,2,1,SR,0.659021682
10,2,1,DR,0.283405427
10,2,1,ACW,0.474666839
10,2,1,COKE,0.20428895
10,2,1,SR,0.464035103
10,2,1,DR,0.191459629
10,2,1,ACW,0.360064347
10,2,1,COKE,0.194792853
10,2,1,SR,0.332073983
10,2,1,DR,0.280532075
10,2,1,ACW,0.40200384
10,2,1,COKE,0.156027987
10,2,1,SR,0.413372527
10,2,1,DR,0.31700837
10,2,1,ACW,0.516438594
10,2,1,COKE,0.155392542
10,2,1,SR,0.391794881
10,2,1,DR,0.265430415
10,2,1,ACW,0.377898781
10,2,1,COKE,0.182975405
10,2,1,SR,0.326198966
10,2,1,DR,0.378070904
10,2,1,ACW,0.485606749
10,2,1,COKE,0.19553072
10,2,1,SR,0.455174026
10,2,1,DR,0.193780368
10,2,1,ACW,0.209705648
10,2,1,COKE,0.199174484
10,2,1,SR,0.363704274
10,2,1,DR,0.254304426
10,2,1,ACW,0.228472944
10,2,1,COKE,0.164497234
10,2,1,SR,0.354572187
10,2,1,DR,0.1999097
10,2,1,ACW,5.922955447
10,2,1,COKE,0.130823005
10,2,1,SR,0.351854007
10,2,1,DR,0.178120452
10,2,1,ACW,0.294639677
10,2,1,COKE,0.169313622
10,2,1,SR,0.366551675
10,2,1,DR,0.26191709
10,2,1,ACW,0.26298367
10,2,1,COKE,0.160819428
10,2,1,SR,0.432878211
10,2,1,DR,0.314493759
10,2,1,ACW,0.429618925
10,2,1,COKE,0.146763711
10,2,1,SR,0.331355677
10,2,1,DR,0.186521435
10,2,1,ACW,4.699389538
10,2,1,COKE,0.154390553
10,2,1,SR,0.503631769
10,2,1,DR,0.260809464
10,2,1,ACW,0.249073341
10,2,1,COKE,0.189551687
10,2,1,SR,0.457052755
10,2,1,DR,0.349046541
10,2,1,ACW,0.44053936
10,2,1,COKE,0.167304549
10,2,1,SR,0.30082651
10,2,1,DR,0.352980224
10,2,1,ACW,0.601754331
10,2,1,COKE,0.135210456
10,2,1,SR,0.349174627
10,2,1,DR,0.278120649
10,2,1,ACW,0.310513369
10,2,1,COKE,0.189275922
10,3,1,SR,0.351028709
10,3,1,DR,0.374605062
10,3,1,ACW,0.421403221
10,3,1,COKE,0.213409376
10,3,1,SR,0.511988211
10,3,1,DR,0.252967551
10,3,1,ACW,29.72937118
10,3,1,COKE,0.229374358
10,3,1,SR,0.553996476
10,3,1,DR,0.31776041
10,3,1,ACW,30.95268499
10,3,1,COKE,0.248423184
10,3,1,SR,0.349206509
10,3,1,DR,0.417192742
10,3,1,ACW,4.219737379
10,3,1,COKE,0.171902651
10,3,1,SR,0.511078539
10,3,1,DR,0.267550042
10,3,1,ACW,0.380009497
10,3,1,COKE,0.262112139
10,3,1,SR,0.605798863
10,3,1,DR,0.273287142
10,3,1,ACW,0.905500825
10,3,1,COKE,0.248952463
10,3,1,SR,0.453565513
10,3,1,DR,0.450519233
10,3,1,ACW,0.500481727
10,3,1,COKE,0.192171732
10,3,1,SR,0.530690217
10,3,1,DR,0.355656179
10,3,1,ACW,0.485372192
10,3,1,COKE,0.219135158
10,3,1,SR,0.339850998
10,3,1,DR,0.353004841
10,3,1,ACW,1.17465361
10,3,1,COKE,0.190997487
10,3,1,SR,0.702087907
10,3,1,DR,0.513985965
10,3,1,ACW,0.456350357
10,3,1,COKE,0.270605699
10,3,1,SR,0.532715194
10,3,1,DR,0.239704475
10,3,1,ACW,0.318524482
10,3,1,COKE,0.233736717
10,3,1,SR,0.766345893
10,3,1,DR,0.242410524
10,3,1,ACW,0.424521032
10,3,1,COKE,0.422873169
10,3,1,SR,0.478716228
10,3,1,DR,0.333254546
10,3,1,ACW,0.664746248
10,3,1,COKE,0.238998463
10,3,1,SR,0.506558861
10,3,1,DR,0.186354424
10,3,1,ACW,1.185587241
10,3,1,COKE,0.245915723
10,3,1,SR,0.815989145
10,3,1,DR,0.263269481
10,3,1,ACW,0.446486869
10,3,1,COKE,0.302312585
10,3,1,SR,0.479638872
10,3,1,DR,0.496063525
10,3,1,ACW,26.09845856
10,3,1,COKE,0.239641827
10,3,1,SR,0.525297663
10,3,1,DR,0.232064542
10,3,1,ACW,9.185655928
10,3,1,COKE,0.21757508
10,3,1,SR,0.348062214
10,3,1,DR,0.40631578
10,3,1,ACW,9.409166892
10,3,1,COKE,0.184557915
10,3,1,SR,0.436420337
10,3,1,DR,0.356188334
10,3,1,ACW,0.992700158
10,3,1,COKE,0.147618865
10,3,1,SR,0.555446846
10,3,1,DR,0.15295975
10,3,1,ACW,1.774973629
10,3,1,COKE,0.209553841
10,3,1,SR,0.562283895
10,3,1,DR,0.223720587
10,3,1,ACW,0.243787755
10,3,1,COKE,0.265782598
10,3,1,SR,0.613731028
10,3,1,DR,0.229841208
10,3,1,ACW,1.631364586
10,3,1,COKE,0.344199706
10,3,1,SR,0.552320607
10,3,1,DR,0.415666557
10,3,1,ACW,1.41877208
10,3,1,COKE,0.272556331
10,3,1,SR,0.416101223
10,3,1,DR,0.349441664
10,3,1,ACW,0.507596765
10,3,1,COKE,0.181580522
10,3,1,SR,0.46401159
10,3,1,DR,0.37770805
10,3,1,ACW,48.34571186
10,3,1,COKE,0.224739261
10,3,1,SR,0.602359051
10,3,1,DR,0.323520351
10,3,1,ACW,3.326998235
10,3,1,COKE,0.398925571
10,3,1,SR,0.637268739
10,3,1,DR,0.221873974
10,3,1,ACW,3.037352677
10,3,1,COKE,0.475396096
10,3,1,SR,0.739993744
10,3,1,DR,0.189591109
10,3,1,ACW,0.828776913
10,3,1,COKE,0.381749841
10,3,1,SR,0.598063498
10,3,1,DR,0.183392558
10,3,1,ACW,0.299990734
10,3,1,COKE,0.28251022
10,3,1,SR,0.488300807
10,3,1,DR,0.25372487
10,3,1,ACW,1.217388807
10,3,1,COKE,0.256642825
10,3,1,SR,0.442859448
10,3,1,DR,0.285132319
10,3,1,ACW,33.63077136
10,3,1,COKE,0.231210043
10,3,1,SR,0.456917299
10,3,1,DR,0.315541084
10,3,1,ACW,0.47606426
10,3,1,COKE,0.270121778
10,3,1,SR,0.449971202
10,3,1,DR,0.35047302
10,3,1,ACW,10.03567269
10,3,1,COKE,0.291810787
10,3,1,SR,0.440653018
10,3,1,DR,0.238169992
10,3,1,ACW,0.243253819
10,3,1,COKE,0.16417129
10,3,1,SR,0.424018454
10,3,1,DR,0.567935818
10,3,1,ACW,0.492806616
10,3,1,COKE,0.202644873
10,3,1,SR,0.600105287
10,3,1,DR,0.392829336
10,3,1,ACW,0.455214573
10,3,1,COKE,0.198233337
10,3,1,SR,0.367881483
10,3,1,DR,0.441244179
10,3,1,ACW,0.47846136
10,3,1,COKE,0.158515813
10,3,1,SR,0.35723576
10,3,1,DR,0.43718203
10,3,1,ACW,3.777754334
10,3,1,COKE,0.197014988
10,3,1,SR,0.406696336
10,3,1,DR,0.401026414
10,3,1,ACW,0.418644895
10,3,1,COKE,0.168216559
10,3,1,SR,0.490793028
10,3,1,DR,0.551055306
10,3,1,ACW,94.1474447
10,3,1,COKE,0.193838808
10,3,1,SR,0.592916075
10,3,1,DR,0.165324753
10,3,1,ACW,0.251999249
10,3,1,COKE,0.319728741
10,3,1,SR,0.545239937
10,3,1,DR,0.30012354
10,3,1,ACW,0.670043153
10,3,1,COKE,0.222658757
10,3,1,SR,0.544242854
10,3,1,DR,0.260944143
10,3,1,ACW,0.1989658
10,3,1,COKE,0.212226724
10,3,1,SR,0.592049335
10,3,1,DR,0.343780916
10,3,1,ACW,0.444113783
10,3,1,COKE,0.18341312
10,3,1,SR,0.59378422
10,3,1,DR,0.215344972
10,3,1,ACW,10.40534186
10,3,1,COKE,0.246802405
10,3,1,SR,0.523286542
10,3,1,DR,0.612288439
10,3,1,ACW,0.748802277
10,3,1,COKE,0.197392246
10,3,1,SR,0.335155153
10,3,1,DR,0.683563673
10,3,1,ACW,0.998566236
10,3,1,COKE,0.19685645
10,3,1,SR,0.332713055
10,3,1,DR,0.272706015
10,3,1,ACW,0.699037685
10,3,1,COKE,0.188487979
10,3,1,SR,1.1082355
10,3,1,DR,0.329363328
10,3,1,ACW,1.059798024
10,3,1,COKE,0.250525519
10,3,1,SR,0.378349883
10,3,1,DR,0.441087499
10,3,1,ACW,0.391757214
10,3,1,COKE,0.200186519
10,3,1,SR,0.786029978
10,3,1,DR,0.288009226
10,3,1,ACW,1.515797516
10,3,1,COKE,0.356265017
10,3,1,SR,0.55369835
10,3,1,DR,0.274442357
10,3,1,ACW,0.296355361
10,3,1,COKE,0.372395118
10,3,1,SR,0.737444279
10,3,1,DR,0.229971572
10,3,1,ACW,0.331382897
10,3,1,COKE,0.546724959
10,3,1,SR,0.506170185
10,3,1,DR,0.404462263
10,3,1,ACW,0.482714621
10,3,1,COKE,0.20140795
10,3,1,SR,0.336527941
10,3,1,DR,0.334319665
10,3,1,ACW,754.513735
10,3,1,COKE,0.179805769
10,3,1,SR,0.485900731
10,3,1,DR,0.34676275
10,3,1,ACW,3.92558704
10,3,1,COKE,0.179377792
10,3,1,SR,0.337788183
10,3,1,DR,0.264771475
10,3,1,ACW,2.255921096
10,3,1,COKE,0.177381239
10,3,1,SR,0.438047429
10,3,1,DR,0.478391103
10,3,1,ACW,0.343418413
10,3,1,COKE,0.185653335
10,3,1,SR,0.725525126
10,3,1,DR,0.260089042
10,3,1,ACW,0.591647468
10,3,1,COKE,0.258142719
10,3,1,SR,0.634568488
10,3,1,DR,0.299664432
10,3,1,ACW,0.210024461
10,3,1,COKE,0.192212625
10,3,1,SR,0.572868793
10,3,1,DR,0.540364155
10,3,1,ACW,0.431366174
10,3,1,COKE,0.1745766
10,3,1,SR,0.543275382
10,3,1,DR,0.372679594
10,3,1,ACW,6.886671577
10,3,1,COKE,0.219564193
10,3,1,SR,0.457648568
10,3,1,DR,0.406996233
10,3,1,ACW,0.470914036
10,3,1,COKE,0.194069233
10,3,1,SR,0.625744725
10,3,1,DR,0.283075666
10,3,1,ACW,0.511256194
10,3,1,COKE,0.21689658
10,3,1,SR,0.595209304
10,3,1,DR,0.427653812
10,3,1,ACW,0.480244608
10,3,1,COKE,0.328933794
10,3,1,SR,0.744556982
10,3,1,DR,0.401939663
10,3,1,ACW,0.320363922
10,3,1,COKE,0.33522393
10,3,1,SR,0.410474258
10,3,1,DR,0.678611998
10,3,1,ACW,0.647446438
10,3,1,COKE,0.2237775
10,3,1,SR,0.431593725
10,3,1,DR,0.422521075
10,3,1,ACW,0.449658267
10,3,1,COKE,0.191107216
10,3,1,SR,0.338517377
10,3,1,DR,0.621853935
10,3,1,ACW,0.469155829
10,3,1,COKE,0.164720744
10,3,1,SR,0.650527386
10,3,1,DR,0.257423846
10,3,1,ACW,3.090877599
10,3,1,COKE,0.377420042
10,3,1,SR,0.383578607
10,3,1,DR,0.328036788
10,3,1,ACW,0.463164038
10,3,1,COKE,0.188999667
10,3,1,SR,0.595885056
10,3,1,DR,0.211063412
10,3,1,ACW,4.1736456
10,3,1,COKE,0.257229318
10,3,1,SR,0.769271485
10,3,1,DR,0.225505978
10,3,1,ACW,0.49420912
10,3,1,COKE,0.275924655
10,3,1,SR,0.603509827
10,3,1,DR,0.244592975
10,3,1,ACW,17.8585803
10,3,1,COKE,0.249046259
10,3,1,SR,0.553771509
10,3,1,DR,0.205511825
10,3,1,ACW,0.28563392
10,3,1,COKE,0.23139133
10,3,1,SR,0.614284306
10,3,1,DR,0.414823244
10,3,1,ACW,90.2892139
10,3,1,COKE,0.20810305
10,3,1,SR,0.63937184
10,3,1,DR,0.294091631
10,3,1,ACW,0.25168586
10,3,1,COKE,0.256751278
10,3,1,SR,0.396955062
10,3,1,DR,0.458003122
10,3,1,ACW,0.471147326
