B,type,risk
1,perm2,0.1288944849928318
1,all,0.1035306409170922
1,perm1,0.13476456190417305
1,perm2,0.12613222572222063
1,all,0.09927950351416362
1,perm1,0.12623065684083826
1,perm2,0.1511618996105802
1,all,0.11429888297779749
1,perm1,0.13982491614866477
1,perm2,0.14880712652588338
1,all,0.11563152383117206
1,perm1,0.14583242498908422
1,perm2,0.15663254583080613
1,all,0.1264501250602713
1,perm1,0.14198594209415186
1,perm2,0.1332385331637049
1,all,0.11304087665178826
1,perm1,0.15500029820732503
1,perm2,0.14647689528763472
1,all,0.13430778559030412
1,perm1,0.18738616008234987
1,perm2,0.16343980828541274
1,all,0.1521525797076965
1,perm1,0.16026196821147795
1,perm2,0.14546816616904526
1,all,0.1251720756501277
1,perm1,0.12656499145117153
1,perm2,0.15645277215474868
1,all,0.1234715192449147
1,perm1,0.16920041186279708
1,perm2,0.1290638866731422
1,all,0.13181470049360636
1,perm1,0.17867196542773656
1,perm2,0.17298382043702848
1,all,0.14967641786752847
1,perm1,0.14189045179805232
1,perm2,0.1282708855045095
1,all,0.1157870340651703
1,perm1,0.1281421352953548
1,perm2,0.13515212532770435
1,all,0.11256925610455808
1,perm1,0.15650789158621342
1,perm2,0.1358221472570011
1,all,0.12742576805984732
1,perm1,0.14646228751699886
1,perm2,0.12505508688396103
1,all,0.11851370075755029
1,perm1,0.13667436933292862
1,perm2,0.15805101854796202
1,all,0.1254344106090601
1,perm1,0.13433716355302447
1,perm2,0.131951556607064
1,all,0.1135226917017821
1,perm1,0.13558380090387515
1,perm2,0.12193459914052274
1,all,0.115245672720869
1,perm1,0.15487668792774428
1,perm2,0.12677542227626096
1,all,0.1194525065105818
1,perm1,0.1513564377769964
1,perm2,0.14427282641294495
1,all,0.128023641342828
1,perm1,0.1512860033147506
1,perm2,0.15167408616818495
1,all,0.12991893460703183
1,perm1,0.11261927285849371
1,perm2,0.15379451743061065
1,all,0.11471240289548157
1,perm1,0.1628277168270976
1,perm2,0.11972950132912774
1,all,0.11293362892449031
1,perm1,0.16173800738996844
1,perm2,0.13793027946460087
1,all,0.1271556464543852
1,perm1,0.13627434335740937
1,perm2,0.14430527454749853
1,all,0.12279008822356337
1,perm1,0.15889695397181813
1,perm2,0.12667974927311448
1,all,0.11569545343431875
1,perm1,0.12583885565685127
1,perm2,0.12150377832324293
1,all,0.10839884721145815
1,perm1,0.12188212621275304
1,perm2,0.1311472902500332
1,all,0.10125432040737709
1,perm1,0.14627465636350903
1,perm2,0.12932093143450724
1,all,0.1162112999709118
1,perm1,0.2112103321352153
1,perm2,0.17329812246322773
1,all,0.16597946737676564
1,perm1,0.13261220267309382
1,perm2,0.1359296987961945
1,all,0.11652182412636626
1,perm1,0.13469685403791248
1,perm2,0.15637944282008134
1,all,0.12299239446485405
1,perm1,0.17126817165479608
1,perm2,0.1966881037308758
1,all,0.16240362892141083
1,perm1,0.1701410603873462
1,perm2,0.1599899060872064
1,all,0.14156869090642651
1,perm1,0.1296316890631318
1,perm2,0.11924909682680132
1,all,0.10421536012823499
1,perm1,0.1284042085949678
1,perm2,0.1365156972001361
1,all,0.12154686466740261
1,perm1,0.14114284627554297
1,perm2,0.15003520865147343
1,all,0.12706205702866133
5,perm1,0.13590048466022425
5,perm2,0.1604414835208799
5,all,0.12037799679342076
5,perm1,0.1628245377291977
5,perm2,0.15065969894377312
5,all,0.13774913097763666
