B,R,c,method,risk
1,2,1,COKE,0.128912533
1,2,1,SR,0.254652016
1,2,1,DR,0.136773179
1,2,1,ACW,0.149894455
1,2,1,COKE,0.138997871
1,2,1,SR,0.187441471
1,2,1,DR,0.151644045
1,2,1,ACW,0.268770648
1,2,1,COKE,0.115475402
1,2,1,SR,0.304410485
1,2,1,DR,0.166771996
1,2,1,ACW,0.138929548
1,2,1,COKE,0.112670284
1,2,1,SR,0.303683358
1,2,1,DR,0.152509374
1,2,1,ACW,0.186034374
1,2,1,COKE,0.128164557
1,2,1,SR,0.273166498
1,2,1,DR,0.133204332
1,2,1,ACW,0.154449822
1,2,1,COKE,0.128005657
1,2,1,SR,0.370733817
1,2,1,DR,0.152230938
1,2,1,ACW,0.147467849
1,2,1,COKE,0.129683648
1,2,1,SR,0.228028026
1,2,1,DR,0.141025856
1,2,1,ACW,0.181194722
1,2,1,COKE,0.111816368
1,2,1,SR,0.224868019
1,2,1,DR,0.127479096
1,2,1,ACW,0.134479021
1,2,1,COKE,0.103464073
1,2,1,SR,0.265616696
1,2,1,DR,0.149282164
1,2,1,ACW,0.19308799
1,2,1,COKE,0.119154613
1,2,1,SR,0.338485343
1,2,1,DR,0.127167163
1,2,1,ACW,0.134840417
1,2,1,COKE,0.142897681
1,2,1,SR,0.213162924
1,2,1,DR,0.152402586
1,2,1,ACW,0.192656828
1,2,1,COKE,0.120817282
1,2,1,SR,0.24931952
1,2,1,DR,0.139656865
1,2,1,ACW,0.170429661
1,2,1,COKE,0.115530528
1,2,1,SR,0.352536544
1,2,1,DR,0.125897399
1,2,1,ACW,0.156696486
1,2,1,COKE,0.155878982
1,2,1,SR,0.458114205
1,2,1,DR,0.159394299
1,2,1,ACW,0.162274222
1,2,1,COKE,0.157383743
1,2,1,SR,0.250251141
1,2,1,DR,0.146148876
1,2,1,ACW,0.179976513
1,2,1,COKE,0.111157059
1,2,1,SR,0.217112485
1,2,1,DR,0.144222317
1,2,1,ACW,0.156576214
1,2,1,COKE,0.124739331
1,2,1,SR,0.311407372
1,2,1,DR,0.181726001
1,2,1,ACW,0.239255813
1,2,1,COKE,0.132806878
5,2,1,SR,0.280220721
5,2,1,DR,0.243432772
5,2,1,ACW,0.281310111
5,2,1,COKE,0.118724312
5,2,1,SR,0.284786336
5,2,1,DR,0.228594175
5,2,1,ACW,0.277936488
5,2,1,COKE,0.137527184
5,2,1,SR,0.17374349
5,2,1,DR,0.222025129
5,2,1,ACW,0.304200955
5,2,1,COKE,0.095231298
5,2,1,SR,0.358161232
5,2,1,DR,0.177826892
5,2,1,ACW,0.181326342
5,2,1,COKE,0.133309617
5,2,1,SR,0.264578028
5,2,1,DR,0.324068378
5,2,1,ACW,0.267484008
5,2,1,COKE,0.143040582
5,2,1,SR,0.242734951
5,2,1,DR,0.25664398
5,2,1,ACW,0.260233069
5,2,1,COKE,0.13723513
5,2,1,SR,0.293628673
5,2,1,DR,0.21977854
5,2,1,ACW,0.203192367
5,2,1,COKE,0.118322926
5,2,1,SR,0.247983611
5,2,1,DR,0.241808768
5,2,1,ACW,0.264434785
5,2,1,COKE,0.137969368
5,2,1,SR,0.252217282
5,2,1,DR,0.276705807
5,2,1,ACW,0.380905649
5,2,1,COKE,0.131759559
5,2,1,SR,0.423696486
5,2,1,DR,0.325437482
5,2,1,ACW,12.72818314
5,2,1,COKE,0.200533469
5,2,1,SR,0.238649764
5,2,1,DR,0.164832055
5,2,1,ACW,0.359792372
5,2,1,COKE,0.133628752
5,2,1,SR,0.459113323
5,2,1,DR,0.154816383
5,2,1,ACW,0.369775081
5,2,1,COKE,0.160132025
5,2,1,SR,0.321817454
5,2,1,DR,0.176061903
5,2,1,ACW,0.50668365
5,2,1,COKE,0.166552162
5,2,1,SR,0.246256317
5,2,1,DR,0.186493395
5,2,1,ACW,0.403547503
5,2,1,COKE,0.132068698
5,2,1,SR,0.348967179
5,2,1,DR,0.223364597
5,2,1,ACW,0.19208592
5,2,1,COKE,0.164971604
5,2,1,SR,0.246933527
5,2,1,DR,0.160400007
5,2,1,ACW,0.267596999
5,2,1,COKE,0.126991776
5,2,1,SR,0.381014643
5,2,1,DR,0.177707576
5,2,1,ACW,0.724222949
5,2,1,COKE,0.204786543
5,2,1,SR,0.263892499
5,2,1,DR,0.149453711
5,2,1,ACW,0.22695239
5,2,1,COKE,0.114487743
5,2,1,SR,0.273184041
5,2,1,DR,0.177043206
5,2,1,ACW,0.238529313
5,2,1,COKE,0.147025238
5,2,1,SR,0.36431107
5,2,1,DR,0.145365301
5,2,1,ACW,0.588884146
5,2,1,COKE,0.189633366
5,2,1,SR,0.321745544
5,2,1,DR,0.165164062
5,2,1,ACW,2.699049541
5,2,1,COKE,0.151504564
5,2,1,SR,0.183488034
5,2,1,DR,0.158657392
5,2,1,ACW,0.279352939
5,2,1,COKE,0.107042127
5,2,1,SR,0.255584668
5,2,1,DR,0.170200542
5,2,1,ACW,2.177242957
5,2,1,COKE,0.118803497
5,2,1,SR,0.34517171
5,2,1,DR,0.157255523
5,2,1,ACW,1.370638816
5,2,1,COKE,0.152469401
5,2,1,SR,0.309106273
5,2,1,DR,0.19767626
5,2,1,ACW,0.295754831
5,2,1,COKE,0.158209171
5,2,1,SR,0.181193098
5,2,1,DR,0.17468897
5,2,1,ACW,0.381800932
5,2,1,COKE,0.109494716
5,2,1,SR,0.208918457
5,2,1,DR,0.158690923
5,2,1,ACW,0.310264718
5,2,1,COKE,0.123010262
5,2,1,SR,0.318485963
5,2,1,DR,0.182465644
5,2,1,ACW,0.220257317
5,2,1,COKE,0.130872314
5,2,1,SR,0.337917175
5,2,1,DR,0.299841847
5,2,1,ACW,0.328763906
5,2,1,COKE,0.149566873
5,2,1,SR,0.224256224
5,2,1,DR,0.251821897
5,2,1,ACW,0.802190085
5,2,1,COKE,0.10911916
5,2,1,SR,0.330712401
5,2,1,DR,0.172923309
5,2,1,ACW,0.180368423
5,2,1,COKE,0.166134244
5,2,1,SR,0.371483804
5,2,1,DR,0.170868386
5,2,1,ACW,0.627646497
5,2,1,COKE,0.173446489
5,2,1,SR,0.401962931
5,2,1,DR,0.18665221
5,2,1,ACW,0.303885274
5,2,1,COKE,0.170374792
5,2,1,SR,0.273755399
5,2,1,DR,0.209430364
5,2,1,ACW,0.648175463
5,2,1,COKE,0.14900818
5,2,1,SR,0.277069618
5,2,1,DR,0.224223296
5,2,1,ACW,4.074401531
5,2,1,COKE,0.158376834
5,2,1,SR,0.455879133
5,2,1,DR,0.148088797
5,2,1,ACW,0.969154662
5,2,1,COKE,0.163437475
5,2,1,SR,0.23479669
5,2,1,DR,0.156528562
5,2,1,ACW,0.320623397
5,2,1,COKE,0.130119892
5,2,1,SR,0.259324007
5,2,1,DR,0.289575999
5,2,1,ACW,0.343244547
5,2,1,COKE,0.16651333
5,2,1,SR,0.221421767
5,2,1,DR,0.173562816
5,2,1,ACW,1.876227997
5,2,1,COKE,0.117044898
5,2,1,SR,0.355714437
5,2,1,DR,0.194900655
5,2,1,ACW,0.49812973
5,2,1,COKE,0.154466739
5,2,1,SR,0.429773194
5,2,1,DR,0.204740298
5,2,1,ACW,0.709248816
5,2,1,COKE,0.199699602
5,2,1,SR,0.289969445
5,2,1,DR,0.128241735
5,2,1,ACW,4.411128975
5,2,1,COKE,0.160178002
5,2,1,SR,0.283447214
5,2,1,DR,0.259811061
5,2,1,ACW,0.207001246
5,2,1,COKE,0.143705044
5,2,1,SR,0.360200713
5,2,1,DR,0.157894428
5,2,1,ACW,0.286381979
5,2,1,COKE,0.140163549
5,2,1,SR,0.44164593
5,2,1,DR,0.221437759
5,2,1,ACW,1.13235248
5,2,1,COKE,0.137630304
5,2,1,SR,0.24783388
5,2,1,DR,0.245884884
5,2,1,ACW,0.278695967
5,2,1,COKE,0.147794636
5,2,1,SR,0.35005244
5,2,1,DR,0.237482552
5,2,1,ACW,2.050646529
5,2,1,COKE,0.166971042
5,2,1,SR,0.308584352
5,2,1,DR,0.185166287
5,2,1,ACW,0.329141459
5,2,1,COKE,0.145467753
5,2,1,SR,0.270383158
5,2,1,DR,0.208360759
5,2,1,ACW,0.944787765
5,2,1,COKE,0.147791209
5,2,1,SR,0.349837482
5,2,1,DR,0.179350078
5,2,1,ACW,0.298276068
5,2,1,COKE,0.122625071
5,2,1,SR,0.317522621
5,2,1,DR,0.166668778
5,2,1,ACW,0.430128478
5,2,1,COKE,0.150513254
5,2,1,SR,0.328637984
5,2,1,DR,0.201308224
5,2,1,ACW,0.383748558
5,2,1,COKE,0.142617391
5,2,1,SR,0.360605476
5,2,1,DR,0.161157072
5,2,1,ACW,0.236612143
5,2,1,COKE,0.130315494
5,2,1,SR,0.28169943
5,2,1,DR,0.264285675
5,2,1,ACW,0.444751232
