nt,method,risk
250,SR,0.742027805
250,DR,0.380166018
250,ACW,2.37843056
250,COKE,0.318849193
250,RLearner,0.447420361
250,SR,0.407102233
250,DR,0.484716598
250,ACW,0.579403355
250,COKE,0.243488149
250,RLearner,0.543487813
250,SR,0.726962369
250,DR,0.465318864
250,ACW,0.35459898
250,COKE,0.325011043
250,RLearner,0.399268443
250,SR,0.569807302
250,DR,0.700148181
250,ACW,0.503755306
250,COKE,0.431428888
250,RLearner,0.583953213
250,SR,0.522344996
250,DR,0.538737887
250,ACW,2.120675935
250,COKE,0.278916221
250,RLearner,0.418758916
250,SR,0.599955042
250,DR,0.587896117
250,ACW,1.33296345
250,COKE,0.35115986
250,RLearner,0.59634383
250,SR,0.606751419
250,DR,0.341559225
250,ACW,1.028449879
250,COKE,0.280620207
250,RLearner,0.386624806
250,SR,0.571022002
250,DR,0.619004038
250,ACW,8.577838849
250,COKE,0.255081912
250,RLearner,0.406077526
250,SR,0.454352033
250,DR,0.517260127
250,ACW,0.417468849
250,COKE,0.280543592
250,RLearner,0.253823043
250,SR,0.545907747
250,DR,0.572897861
250,ACW,34.72771498
250,COKE,0.256074767
250,RLearner,0.303027303
250,SR,0.782058142
250,DR,0.530932879
250,ACW,0.324679354
250,COKE,0.515221707
250,RLearner,0.506726787
250,SR,0.412131996
250,DR,0.498768485
250,ACW,0.321233168
250,COKE,0.208016129
250,RLearner,0.266383149
250,SR,0.750942243
250,DR,0.538897641
250,ACW,8.157979614
250,COKE,0.335985769
250,RLearner,0.369839986
250,SR,0.454836558
250,DR,0.45931264
250,ACW,0.470628921
250,COKE,0.480229588
250,RLearner,0.322849427
250,SR,0.474341111
250,DR,0.440661756
250,ACW,1.726665645
250,COKE,0.282216339
250,RLearner,0.376489003
250,SR,0.499415267
250,DR,0.4202425
250,ACW,9.569692183
250,COKE,0.312679364
250,RLearner,0.330704396
250,SR,0.735318224
250,DR,0.623299828
250,ACW,0.288224248
250,COKE,0.313864326
250,RLearner,0.42868474
250,SR,0.393039803
250,DR,0.438937408
250,ACW,6.004062084
250,COKE,0.229158418
250,RLearner,0.482899937
250,SR,0.476005234
250,DR,0.764223774
250,ACW,22.9965635
250,COKE,0.229168067
250,RLearner,0.375486663
250,SR,0.448730376
250,DR,0.68990558
250,ACW,2.857845737
250,COKE,0.42902405
250,RLearner,0.47187579
250,SR,0.668380116
250,DR,0.558887971
250,ACW,0.844951079
250,COKE,0.311128759
250,RLearner,0.330454851
250,SR,0.765611636
250,DR,0.375225937
250,ACW,4.66436348
250,COKE,0.203734779
250,RLearner,0.275986027
500,SR,0.657862393
500,DR,0.350093132
500,ACW,14.3338537
500,COKE,0.223388579
500,RLearner,0.387701649
500,SR,0.893864178
500,DR,0.309575606
500,ACW,22.42163299
500,COKE,0.16059899
500,RLearner,0.286275593
500,SR,0.619773025
500,DR,0.364687998
500,ACW,0.441395006
500,COKE,0.214884601
500,RLearner,0.253665919
500,SR,0.478554081
500,DR,0.228204385
500,ACW,3.578638894
500,COKE,0.218042552
500,RLearner,0.332922856
500,SR,0.735537439
500,DR,0.443381861
500,ACW,11.06358694
500,COKE,0.234549797
500,RLearner,0.293338065
500,SR,0.744115321
500,DR,0.564327008
500,ACW,0.315628964
500,COKE,0.216397527
500,RLearner,0.284879042
500,SR,0.499515518
500,DR,0.571218977
500,ACW,3.177320173
500,COKE,0.242604496
500,RLearner,0.386961583
500,SR,0.577265481
500,DR,0.447919316
500,ACW,4.107352745
500,COKE,0.241625552
500,RLearner,0.301269057
500,SR,0.950846367
500,DR,0.357023357
500,ACW,0.647698607
500,COKE,0.256576343
500,RLearner,0.224781498
500,SR,0.529855362
500,DR,0.267948481
500,ACW,0.56464858
500,COKE,0.266795409
500,RLearner,0.210234964
500,SR,0.788239279
500,DR,0.335782047
500,ACW,0.374951698
500,COKE,0.233931635
500,RLearner,0.310765399
500,SR,0.462435402
500,DR,0.337101962
500,ACW,1.050599099
500,COKE,0.221732012
500,RLearner,0.28015278
500,SR,0.543777697
500,DR,0.421111915
500,ACW,0.949914484
500,COKE,0.246109635
500,RLearner,0.224757275
500,SR,0.358112471
500,DR,0.573446549
500,ACW,0.320141597
500,COKE,0.185752856
500,RLearner,0.438401934
500,SR,0.550400567
500,DR,0.381802334
500,ACW,0.32589013
500,COKE,0.229070609
500,RLearner,0.265400096
500,SR,0.414685061
500,DR,0.441636903
500,ACW,0.649401148
500,COKE,0.267753935
500,RLearner,0.329923764
500,SR,0.439327387
500,DR,0.300564718
500,ACW,4.163556358
500,COKE,0.206691794
500,RLearner,0.180963839
500,SR,0.460462821
500,DR,0.405994249
500,ACW,5.38380247
500,COKE,0.273122568
500,RLearner,0.450897679
500,SR,0.345089743
500,DR,0.481287489
500,ACW,0.50828788
500,COKE,0.227500721
500,RLearner,0.430201177
500,SR,0.749850046
500,DR,0.316871756
500,ACW,4.001621644
500,COKE,0.219170976
500,RLearner,0.309370769
500,SR,0.349680408
500,DR,0.496428654
500,ACW,0.357173072
500,COKE,0.2055203
500,RLearner,0.268076892
500,SR,0.516642633
500,DR,0.313776859
500,ACW,2.250885004
500,COKE,0.292479432
500,RLearner,0.21680668
500,SR,0.440795682
500,DR,0.284149277
500,ACW,0.46605326
500,COKE,0.227812952
500,RLearner,0.273719341
500,SR,1.030006132
500,DR,0.324322431
500,ACW,0.24281016
500,COKE,0.272274408
500,RLearner,0.206315831
500,SR,0.636634589
500,DR,0.265985122
500,ACW,4.772384503
500,COKE,0.233135768
500,RLearner,0.23811932
500,SR,0.865096062
500,DR,0.332698508
500,ACW,1.561277999
500,COKE,0.367817801
500,RLearner,0.319039325
500,SR,0.573815252
500,DR,0.30083782
500,ACW,2.489498384
500,COKE,0.200013166
500,RLearner,0.262017758
500,SR,0.303432557
500,DR,0.363903778
500,ACW,3.445439063
500,COKE,0.169911831
500,RLearner,0.279074918
500,SR,0.823162161
500,DR,0.291789062
500,ACW,1.663138647
500,COKE,0.295293111
500,RLearner,0.324742548
500,SR,0.856973054
500,DR,0.523519305
500,ACW,0.507286248
500,COKE,0.245489804
500,RLearner,0.357982678
500,SR,0.305102433
500,DR,0.424160666
500,ACW,2.174394642
500,COKE,0.184345809
500,RLearner,0.330050935
500,SR,0.542711427
500,DR,0.397476682
500,ACW,3.353876857
500,COKE,0.273075428
500,RLearner,0.322493993
500,SR,0.402440086
500,DR,0.479736306
500,ACW,2.463908558
500,COKE,0.229789959
500,RLearner,0.346819494
500,SR,0.315987992
500,DR,0.450616139
500,ACW,12.51295191
500,COKE,0.180525163
500,RLearner,0.444515956
500,SR,0.853422167
500,DR,0.422140008
500,ACW,8.703266551
500,COKE,0.360634275
500,RLearner,0.454669876
500,SR,0.552882989
500,DR,0.28265589
500,ACW,0.369421382
500,COKE,0.179778558
500,RLearner,0.311697717
500,SR,0.745936697
500,DR,0.373877264
500,ACW,0.470022958
500,COKE,0.263282242
500,RLearner,0.2675055
500,SR,0.681786817
500,DR,0.433602608
500,ACW,3.766248862
500,COKE,0.299503842
500,RLearner,0.456250875
500,SR,0.596351055
500,DR,0.464223198
500,ACW,0.495818002
500,COKE,0.258310875
500,RLearner,0.299801185
500,SR,0.539320692
500,DR,0.249961949
500,ACW,1.269809519
500,COKE,0.179250201
500,RLearner,0.275544946
500,SR,0.28083773
500,DR,0.537825136
500,ACW,0.182993266
500,COKE,0.181497902
500,RLearner,0.296464731
500,SR,0.47861994
500,DR,0.404544204
500,ACW,1.925345911
500,COKE,0.195296952
500,RLearner,0.192223081
500,SR,0.559584219
500,DR,0.438248694
500,ACW,2.586561226
500,COKE,0.21335545
500,RLearner,0.308085537
500,SR,0.769400109
500,DR,0.217238328
500,ACW,0.391443373
500,COKE,0.290981171
500,RLearner,0.38174982
500,SR,0.370177503
500,DR,0.693667399
500,ACW,0.491782017
500,COKE,0.213682852
500,RLearner,0.410927758
500,SR,0.386888197
500,DR,0.407426958
500,ACW,1.06977323
500,COKE,0.170339238
500,RLearner,0.199547072
500,SR,0.735019944
500,DR,0.310317975
500,ACW,2.823407667
500,COKE,0.21795846
500,RLearner,0.295046605
500,SR,0.330332967
500,DR,0.448236915
500,ACW,0.237527467
500,COKE,0.186894091
500,RLearner,0.372775923
500,SR,0.772153667
500,DR,0.367462132
500,ACW,0.992777322
500,COKE,0.297430555
500,RLearner,0.323941568
500,SR,0.373106412
500,DR,0.475445282
500,ACW,5.971678542
500,COKE,0.257733918
500,RLearner,0.419829282
500,SR,0.276101236
500,DR,0.547498238
500,ACW,8.570767293
500,COKE,0.216033279
500,RLearner,0.445204888
500,SR,0.386313163
500,DR,0.276898
500,ACW,0.324782831
500,COKE,0.155658875
500,RLearner,0.281606495
500,SR,0.327608395
500,DR,0.363380081
500,ACW,35.26728398
500,COKE,0.318389552
500,RLearner,0.42993852
500,SR,0.445520008
500,DR,0.578900326
500,ACW,3.337234068
500,COKE,0.258946144
500,RLearner,0.355333249
500,SR,0.439205112
500,DR,0.704088626
500,ACW,0.553983314
500,COKE,0.275167054
500,RLearner,0.402350443
500,SR,0.456928576
500,DR,0.354581588
500,ACW,0.486101482
500,COKE,0.238255761
500,RLearner,0.373418691
500,SR,0.812194529
500,DR,0.388884397
500,ACW,1.165949463
500,COKE,0.250439924
500,RLearner,0.440620879
500,SR,0.444976105
500,DR,0.591776546
500,ACW,0.451737291
500,COKE,0.237075884
500,RLearner,0.357913378
500,SR,0.380281969
500,DR,0.403581161
500,ACW,0.442223018
500,COKE,0.189006156
500,RLearner,0.256227456
500,SR,0.450490279
500,DR,0.319306707
500,ACW,0.491627462
500,COKE,0.221075937
500,RLearner,0.26233106
500,SR,0.380049464
500,DR,0.646978161
500,ACW,29.72337099
500,COKE,0.249930642
500,RLearner,0.440520474
500,SR,0.384371361
500,DR,0.605925718
500,ACW,0.527333161
500,COKE,0.240968005
500,RLearner,0.411904039
500,SR,0.978134961
